,timestamp,end_timestamp,Slot,Segment No.,Total Airtime (seconds),target_audience,reach_avg,length,Priority_scheduel,Campaign,Priority,HN,Notes,Target-Audience(Male/Female/Kids),Promo Duration Seconds,Promo Duration,schd_start_ts,schd_end_ts,promo_start_ts,promo_end_ts
21,2024-01-30 14:19:00,2024-01-30 14:31:00,9,2,240,female/male,1959.583333,0 days 00:12:00,M,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 12:44:51,2024-01-30 12:56:51,2024-01-30 12:56:51,2024-01-30 12:57:51
22,2024-01-30 14:31:00,2024-01-30 14:39:00,9,3,240,female/male,2085.75,0 days 00:08:00,H,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 12:57:51,2024-01-30 13:05:51,2024-01-30 13:05:51,2024-01-30 13:06:26
23,2024-01-30 15:00:00,2024-01-30 15:12:00,10,1,360,female/male,2041.166667,0 days 00:12:00,H,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 13:06:26,2024-01-30 13:18:26,2024-01-30 13:18:26,2024-01-30 13:20:08
24,2024-01-30 15:12:00,2024-01-30 15:18:00,10,2,360,female/male,2243.166667,0 days 00:06:00,H,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 13:20:08,2024-01-30 13:26:08,2024-01-30 13:26:08,2024-01-30 13:27:08
25,2024-01-30 15:18:00,2024-01-30 15:22:00,10,3,360,female/male,2476.0,0 days 00:04:00,H,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-30 13:27:08,2024-01-30 13:31:08,2024-01-30 13:31:08,2024-01-30 13:32:03
26,2024-01-30 15:22:00,2024-01-30 15:27:00,10,4,360,female/male,2441.8,0 days 00:05:00,H,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 13:32:03,2024-01-30 13:37:03,2024-01-30 13:37:03,2024-01-30 13:37:38
27,2024-01-30 16:00:00,2024-01-30 16:09:00,11,1,60,female,2620.666667,0 days 00:09:00,H,7.0,L,DIG-08362,MBC1,female,40.0,0 days 00:00:40,2024-01-30 13:37:38,2024-01-30 13:46:38,2024-01-30 13:46:38,2024-01-30 13:47:18
28,2024-01-30 17:00:00,2024-01-30 17:16:00,13,1,180,female/male,2533.0,0 days 00:16:00,H,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 17:00:00,2024-01-30 17:16:00,2024-01-30 17:16:00,2024-01-30 17:17:42
29,2024-01-30 17:16:00,2024-01-30 17:27:00,13,2,180,female/male,2841.272727,0 days 00:11:00,H,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 17:17:42,2024-01-30 17:28:42,2024-01-30 17:28:42,2024-01-30 17:29:17
30,2024-01-30 17:27:00,2024-01-30 17:37:00,13,3,180,female/male,2951.7,0 days 00:10:00,H,6.0,H,DIG-08378,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 17:29:17,2024-01-30 17:39:17,2024-01-30 17:39:17,2024-01-30 17:39:52
31,2024-01-30 19:00:00,2024-01-30 19:11:00,15,1,60,female/male,2953.090909,0 days 00:11:00,H,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 19:00:00,2024-01-30 19:11:00,2024-01-30 19:11:00,2024-01-30 19:12:00
32,2024-01-30 19:30:00,2024-01-30 19:35:00,16,1,60,female,3126.4,0 days 00:05:00,H,7.0,L,DIG-08362,MBC1,female,40.0,0 days 00:00:40,2024-01-30 19:12:00,2024-01-30 19:17:00,2024-01-30 19:17:00,2024-01-30 19:17:40
33,2024-01-30 20:00:00,2024-01-30 20:14:00,17,1,240,female/male,2524.0,0 days 00:14:00,H,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 19:17:40,2024-01-30 19:31:40,2024-01-30 19:31:40,2024-01-30 19:33:22
34,2024-01-30 20:14:00,2024-01-30 20:22:00,17,2,240,female/male,2544.625,0 days 00:08:00,H,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 19:33:22,2024-01-30 19:41:22,2024-01-30 19:41:22,2024-01-30 19:42:22
35,2024-01-30 20:22:00,2024-01-30 20:30:00,17,3,240,female/male,2444.625,0 days 00:08:00,H,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 19:42:22,2024-01-30 19:50:22,2024-01-30 19:50:22,2024-01-30 19:50:57
36,2024-01-30 21:00:00,2024-01-30 21:15:00,18,1,300,female/male,1765.666667,0 days 00:15:00,M,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 19:50:57,2024-01-30 20:05:57,2024-01-30 20:05:57,2024-01-30 20:07:39
37,2024-01-30 21:15:00,2024-01-30 21:30:00,18,2,300,female/male,1638.066667,0 days 00:15:00,M,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 20:07:39,2024-01-30 20:22:39,2024-01-30 20:22:39,2024-01-30 20:23:39
38,2024-01-30 21:30:00,2024-01-30 21:46:00,18,3,300,female/male,1546.4375,0 days 00:16:00,M,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-30 20:23:39,2024-01-30 20:39:39,2024-01-30 20:39:39,2024-01-30 20:40:34
39,2024-01-30 21:46:00,2024-01-30 22:01:00,18,4,300,female/male,1498.0,0 days 00:15:00,M,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 20:40:34,2024-01-30 20:55:34,2024-01-30 20:55:34,2024-01-30 20:56:09
40,2024-01-30 23:00:00,2024-01-30 23:19:00,20,1,360,female,1143.736842,0 days 00:19:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 23:00:00,2024-01-30 23:19:00,2024-01-30 23:19:00,2024-01-30 23:20:42
41,2024-01-30 23:19:00,2024-01-30 23:24:00,20,2,360,female,1224.0,0 days 00:05:00,L,2.0,H,DIG-08358,MBC1,female,80.0,0 days 00:01:20,2024-01-30 23:20:42,2024-01-30 23:25:42,2024-01-30 23:25:42,2024-01-30 23:27:02
42,2024-01-30 23:24:00,2024-01-30 23:31:00,20,3,360,female,1119.571429,0 days 00:07:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 23:27:02,2024-01-30 23:34:02,2024-01-30 23:34:02,2024-01-30 23:35:02
43,2024-01-30 23:31:00,2024-01-30 23:36:00,20,4,360,female,1148.2,0 days 00:05:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 23:35:02,2024-01-30 23:40:02,2024-01-30 23:40:02,2024-01-30 23:40:37
44,2024-01-31 00:00:00,2024-01-31 00:19:00,21,1,240,female/male,688.2631579,0 days 00:19:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 23:40:37,2024-01-30 23:59:37,2024-01-30 23:59:37,2024-01-31 00:01:19
45,2024-01-31 00:19:00,2024-01-31 00:31:00,21,2,240,female/male,930.9166667,0 days 00:12:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 00:01:19,2024-01-31 00:13:19,2024-01-31 00:13:19,2024-01-31 00:14:19
46,2024-01-31 00:31:00,2024-01-31 00:39:00,21,3,240,female/male,945.0,0 days 00:08:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-31 00:14:19,2024-01-31 00:22:19,2024-01-31 00:22:19,2024-01-31 00:22:54
47,2024-01-31 01:00:00,2024-01-31 01:12:00,22,1,360,female/male,814.4166667,0 days 00:12:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-31 00:22:54,2024-01-31 00:34:54,2024-01-31 00:34:54,2024-01-31 00:36:36
48,2024-01-31 01:12:00,2024-01-31 01:18:00,22,2,360,female/male,857.5,0 days 00:06:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-31 00:36:36,2024-01-31 00:42:36,2024-01-31 00:42:36,2024-01-31 00:43:36
